date,symbol,name,sector,open,high,low,close,volume_usd,market_cap_usd,fear_greed_index,sentiment,rsi_14,return_1d_pct,return_7d_pct,return_30d_pct,macro_event
2025-01-01,BTC,Bitcoin,Layer-1,91205.475187,95509.273929,93904.749352,94000.0,59140597045.29,1850000000000.0,55,Neutral,68.07,0.0,0.0,0.0,
2025-01-02,BTC,Bitcoin,Layer-1,86035.156322,90791.046628,86592.764758,86650.487651,219204795068.32,1705355342069.46,17,Extreme Fear,76.17,-7.8186,0.0,0.0,
2025-01-03,BTC,Bitcoin,Layer-1,85372.440636,88584.394407,82462.106706,86996.347912,21846507902.23,1712162166355.7,75,Greed,58.39,0.3991,0.0,0.0,
2025-01-04,BTC,Bitcoin,Layer-1,84799.731344,86696.312023,82624.082045,85488.411262,75467013917.81,1682484689726.54,43,Neutral,64.57,-1.7333,0.0,0.0,
2025-01-05,BTC,Bitcoin,Layer-1,82689.95027,82195.642434,80391.186471,82143.441815,163386213516.28,1616652844239.96,37,Fear,67.46,-3.9128,0.0,0.0,
2025-01-06,BTC,Bitcoin,Layer-1,75589.20569,80225.481626,74027.045236,75088.812972,31052939667.41,1477811744660.31,14,Extreme Fear,60.86,-8.5882,0.0,0.0,
2025-01-07,BTC,Bitcoin,Layer-1,76732.528682,78436.505545,76280.886731,77536.746178,161970406764.81,1525989153495.28,50,Neutral,72.27,3.2601,0.0,0.0,
2025-01-08,BTC,Bitcoin,Layer-1,75478.547011,76575.643111,74649.880489,75556.333875,101910439993.41,1487012953927.5,42,Neutral,83.94,-2.5542,-19.6209,0.0,
2025-01-09,BTC,Bitcoin,Layer-1,77592.087161,76615.454642,76062.674847,76555.799981,169012739722.26,1506683297498.78,43,Neutral,77.56,1.3228,-11.6499,0.0,
2025-01-10,BTC,Bitcoin,Layer-1,80747.954977,85995.305144,78469.905721,80909.945173,132069735583.54,1592376580529.06,64,Greed,73.87,5.6875,-6.9962,0.0,Bitcoin ETF Inflows Record
2025-01-11,BTC,Bitcoin,Layer-1,83593.724126,84235.19143,80942.338663,84116.567468,99283116427.48,1655485636346.29,55,Neutral,66.4,3.9632,-1.6047,0.0,
2025-01-12,BTC,Bitcoin,Layer-1,84837.730662,88371.064089,85566.880665,85760.355813,211800914835.91,1687836789937.04,53,Neutral,55.93,1.9542,4.4032,0.0,
2025-01-13,BTC,Bitcoin,Layer-1,90864.038091,92814.857119,89486.670389,90249.97201,205548162174.51,1776196257634.63,73,Greed,57.1,5.2351,20.191,0.0,
2025-01-14,BTC,Bitcoin,Layer-1,95668.91641,94975.84004,93289.244135,94390.905274,90654091633.69,1857693348472.46,70,Greed,67.16,4.5883,21.737,0.0,
2025-01-15,BTC,Bitcoin,Layer-1,98473.974146,100582.777019,98028.637545,98930.517208,144529095872.62,1947036774841.89,81,Extreme Greed,63.79,4.8094,30.9361,0.0,
2025-01-16,BTC,Bitcoin,Layer-1,95913.006958,101221.106512,89599.276583,95104.227651,171584899407.42,1871732139936.84,39,Fear,63.27,-3.8677,24.2286,0.0,
2025-01-17,BTC,Bitcoin,Layer-1,95025.247447,95970.563077,92924.342428,95820.740086,65768683287.82,1885833714459.22,56,Neutral,78.55,0.7534,18.4289,0.0,
2025-01-18,BTC,Bitcoin,Layer-1,97136.480747,96347.916005,89122.223598,95417.299968,76223200622.32,1877893669586.75,52,Neutral,71.88,-0.421,13.4346,0.0,
2025-01-19,BTC,Bitcoin,Layer-1,109736.399539,110416.865567,106561.251649,108901.628581,107554646312.54,2143276732720.5,100,Extreme Greed,79.31,14.132,26.9836,0.0,
2025-01-20,BTC,Bitcoin,Layer-1,112531.797878,112945.657711,104290.298133,112468.983571,76530472962.54,2213485314964.09,71,Greed,72.61,3.2758,24.6194,0.0,Trump Inauguration Crypto Boom
2025-01-21,BTC,Bitcoin,Layer-1,123990.493879,125039.649319,124470.36735,124521.894866,151106261186.95,2450696867043.95,95,Extreme Greed,75.38,10.7167,31.9215,0.0,
2025-01-22,BTC,Bitcoin,Layer-1,124729.175356,130619.091584,119386.581306,122870.357518,195380546854.49,2418193206472.64,70,Greed,70.18,-1.3263,24.1986,0.0,
2025-01-23,BTC,Bitcoin,Layer-1,124927.047823,127179.913234,126271.191306,126844.70264,107197450052.35,2496411700895.98,62,Greed,77.77,3.2346,33.3744,0.0,
2025-01-24,BTC,Bitcoin,Layer-1,127128.445736,128195.681122,117679.094428,123832.238727,53757073946.02,2437123847295.84,36,Fear,90.0,-2.3749,29.2332,0.0,
2025-01-25,BTC,Bitcoin,Layer-1,130171.648559,129840.789861,127989.285556,128255.675414,160389068125.17,2524180845912.29,59,Neutral,72.53,3.5721,34.4155,0.0,
2025-01-26,BTC,Bitcoin,Layer-1,146529.129363,144236.775166,133320.123902,140898.021658,74970906744.17,2772992979429.87,87,Extreme Greed,75.0,9.8571,29.381,0.0,
2025-01-27,BTC,Bitcoin,Layer-1,138578.466648,141130.328277,136371.721142,136612.265607,219653722283.32,2688645652900.99,33,Fear,77.45,-3.0417,21.4666,0.0,
2025-01-28,BTC,Bitcoin,Layer-1,143907.069695,141354.2344,137746.021609,141195.449638,80354034604.72,2778846615208.62,61,Greed,69.05,3.3549,13.3901,0.0,
2025-01-29,BTC,Bitcoin,Layer-1,146236.859751,146493.180698,145552.94066,145848.561063,123386520295.37,2870423808163.83,54,Neutral,90.0,3.2955,18.7012,0.0,
2025-01-30,BTC,Bitcoin,Layer-1,151754.458277,153152.591493,142786.887346,149889.021827,163856978189.28,2949943514677.02,61,Greed,82.93,2.7703,18.1673,0.0,
2025-01-31,BTC,Bitcoin,Layer-1,151023.086125,151013.272975,147926.719921,149051.465132,85148390466.27,2933459686106.8,59,Neutral,73.51,-0.5588,20.3656,58.5654,
2025-02-01,BTC,Bitcoin,Layer-1,150766.422088,153247.302363,144318.949845,148471.855434,112705323669.83,2922052473966.07,51,Neutral,82.26,-0.3889,15.7624,71.3457,
2025-02-02,BTC,Bitcoin,Layer-1,151485.484239,150385.480933,149431.686845,149538.302845,135765366014.62,2943041066629.19,54,Neutral,81.88,0.7183,6.1323,71.8903,
